customer_id,customer_age,customer_gender,product_id,product_item ,product_category,purchase_id,purchase_amount,customer_location,product_size,product_colour,product_season,product_rating,customer_subscription,purchase_shipping type,purchase_discount,purchase_promocode,customer_purchase count,purchase_payment type,customer_purchase frequency,purchase_date
1,55,Male,1,Blouse,Clothing,200,$53.00,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,2024-02-16
2,19,Male,2,Sweater,Clothing,201,$64.00,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,2025-02-11
3,50,Male,3,Jeans,Clothing,202,$73.00,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,2025-03-17
4,21,Male,4,Sandals,Footwear,203,$90.00,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,2025-05-20
5,45,Male,5,Blouse,Clothing,205,$49.00,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,2025-04-06
6,46,Male,6,Sneakers,Footwear,206,$20.00,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,2025-06-16
7,63,Male,7,Shirt,Clothing,207,$85.00,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,2025-10-26
8,27,Male,8,Shorts,Clothing,208,$34.00,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly,2025-02-17
9,26,Male,9,Coat,Outerwear,209,$97.00,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually,2025-08-27
10,57,Male,10,Handbag,Accessories,211,$31.00,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,2025-05-28
11,53,Male,11,Shoes,Footwear,212,$34.00,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,2025-10-05
12,30,Male,12,Shorts,Clothing,213,$68.00,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,2025-01-20
13,61,Male,13,Coat,Outerwear,214,$72.00,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,2025-02-17
14,65,Male,14,Dress,Clothing,215,$51.00,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly,2025-03-06
15,64,Male,15,Coat,Outerwear,217,$53.00,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,2025-01-24
16,64,Male,16,Skirt,Clothing,218,$81.00,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,2025-02-22
17,25,Male,17,Sunglasses,Accessories,219,$36.00,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,2025-05-18
18,53,Male,18,Dress,Clothing,220,$38.00,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,2025-02-24
19,52,Male,19,Sweater,Clothing,221,$48.00,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,2025-06-23
20,66,Male,20,Pants,Clothing,223,$90.00,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,2025-06-09
21,21,Male,21,Pants,Clothing,224,$51.00,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,2025-12-15
22,31,Male,22,Pants,Clothing,225,$62.00,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,2025-01-17
23,56,Male,23,Pants,Clothing,226,$37.00,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,2025-08-23
24,31,Male,24,Pants,Clothing,227,$88.00,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,2025-12-01
25,18,Male,25,Jacket,Outerwear,229,$22.00,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,2025-10-14
26,18,Male,26,Hoodie,Clothing,230,$25.00,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,2025-06-22
27,38,Male,27,Jewelry,Accessories,231,$20.00,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,2025-04-06
28,56,Male,28,Shorts,Clothing,232,$56.00,Kentucky,L,Cyan,Summer,5,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,2025-08-17
29,54,Male,29,Handbag,Accessories,233,$94.00,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,2025-11-13
30,31,Male,30,Dress,Clothing,235,$48.00,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,2025-09-09
31,57,Male,31,Jewelry,Accessories,236,$31.00,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,2025-01-08
32,33,Male,32,Dress,Clothing,237,$79.00,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,2025-01-23
33,36,Male,33,Jacket,Outerwear,238,$67.00,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,2025-06-11
34,54,Male,34,Pants,Clothing,239,$38.00,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,2025-07-01
35,36,Male,35,T-shirt,Clothing,241,$91.00,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,2025-05-11
36,54,Male,36,Blouse,Clothing,242,$33.00,Massachusetts,M,Cyan,Summer,4,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,2025-06-20
37,35,Male,37,T-shirt,Clothing,243,$69.00,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,2025-12-05
38,35,Male,38,Jeans,Clothing,244,$45.00,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,2025-08-15
39,29,Male,39,Dress,Clothing,245,$37.00,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,2025-02-10
40,70,Male,40,Pants,Clothing,247,$60.00,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,2025-07-24
41,69,Male,41,Handbag,Accessories,248,$76.00,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,2025-02-23
42,67,Male,42,Scarf,Accessories,249,$39.00,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,2025-03-20
43,20,Male,43,Coat,Outerwear,250,$100.00,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,2025-05-15
44,25,Male,44,Scarf,Accessories,251,$69.00,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,2025-09-23
45,39,Male,45,Hat,Accessories,253,$53.00,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,2025-06-26
46,50,Male,46,Socks,Clothing,254,$21.00,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,2025-09-14
47,57,Male,47,Shirt,Clothing,255,$43.00,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,2025-07-28
48,55,Male,48,Jewelry,Accessories,256,$54.00,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,2025-12-06
49,42,Male,49,Shirt,Clothing,257,$55.00,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly,2025-06-24
50,68,Male,50,Hoodie,Clothing,259,$30.00,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,2025-03-19
51,49,Male,51,Blouse,Clothing,260,$28.00,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,2025-03-16
52,59,Male,52,Skirt,Clothing,261,$59.00,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,2025-02-17
53,42,Male,53,T-shirt,Clothing,262,$20.00,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly,2025-06-07
54,29,Male,54,Skirt,Clothing,263,$24.00,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,2025-01-21
55,47,Male,55,Coat,Outerwear,265,$94.00,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,2025-07-22
56,40,Male,56,Jacket,Outerwear,266,$28.00,South Carolina,M,Lavender,Winter,3,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,2025-02-22
57,41,Male,57,Backpack,Accessories,267,$73.00,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,2025-06-07
58,21,Male,58,Coat,Outerwear,268,$64.00,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,2025-07-20
59,69,Male,59,Hoodie,Clothing,269,$54.00,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly,2025-08-10
60,63,Male,60,Belt,Accessories,271,$79.00,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,2025-05-28
61,50,Male,61,Sweater,Clothing,272,$37.00,Idaho,L,Brown,Summer,4,Yes,Express,Yes,Yes,17,Cash,Weekly,2025-07-28
62,55,Male,62,Scarf,Accessories,273,$68.00,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,2025-02-26
63,30,Male,63,Sneakers,Footwear,274,$21.00,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,2025-05-13
64,33,Male,64,Sunglasses,Accessories,275,$79.00,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,2025-01-08
65,65,Male,65,Boots,Footwear,277,$83.00,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly,2025-11-01
66,65,Male,66,Backpack,Accessories,278,$36.00,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,2025-05-21
67,31,Male,67,Blouse,Clothing,279,$94.00,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,2025-01-17
68,45,Male,68,Coat,Outerwear,280,$33.00,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly,2025-02-28
69,57,Male,69,Handbag,Accessories,281,$46.00,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,2025-08-11
70,48,Male,70,Belt,Accessories,283,$70.00,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly,2025-06-04
71,22,Male,71,Belt,Accessories,284,$29.00,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months,2025-10-16
72,36,Male,72,Dress,Clothing,285,$48.00,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually,2025-07-10
73,18,Male,73,Dress,Clothing,286,$26.00,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,2025-02-22
74,48,Male,74,Pants,Clothing,287,$85.00,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,2025-04-23
75,49,Male,75,Gloves,Accessories,289,$58.00,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly,2025-05-03
76,64,Male,76,Scarf,Accessories,290,$85.00,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually,2025-06-06
77,50,Male,77,Hat,Accessories,291,$43.00,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly,2025-08-06
78,22,Male,78,Dress,Clothing,292,$53.00,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,2025-06-12
