customer_id,customer_age,customer_gender,customer_location,customer_subscription,customer_purchase count,customer_purchase frequency
1,55,Male,Kentucky,1,14,Fortnightly
2,19,Male,Maine,1,2,Fortnightly
3,50,Male,Massachusetts,1,23,Weekly
4,21,Male,Rhode Island,1,49,Weekly
5,45,Male,Oregon,1,31,Annually
6,46,Male,Wyoming,1,14,Weekly
7,63,Male,Montana,1,49,Quarterly
8,27,Male,Louisiana,1,19,Weekly
9,26,Male,West Virginia,1,8,Annually
10,57,Male,Missouri,1,4,Quarterly
11,53,Male,Arkansas,1,26,Bi-Weekly
12,30,Male,Hawaii,1,10,Fortnightly
13,61,Male,Delaware,1,37,Fortnightly
14,65,Male,New Hampshire,1,31,Weekly
15,64,Male,New York,1,34,Weekly
16,64,Male,Rhode Island,1,8,Monthly
17,25,Male,Alabama,1,44,Bi-Weekly
18,53,Male,Mississippi,1,36,Quarterly
19,52,Male,Montana,1,17,Weekly
20,66,Male,Rhode Island,1,46,Bi-Weekly
21,21,Male,Louisiana,1,50,Every 3 Months
22,31,Male,North Carolina,1,22,Quarterly
23,56,Male,California,1,32,Annually
24,31,Male,Oklahoma,1,40,Weekly
25,18,Male,Florida,1,16,Weekly
26,18,Male,Texas,1,14,Annually
27,38,Male,Nevada,1,13,Annually
28,56,Male,Kentucky,1,7,Every 3 Months
29,54,Male,North Carolina,1,41,Every 3 Months
30,31,Male,Wyoming,1,14,Weekly
31,57,Male,North Carolina,1,16,Monthly
32,33,Male,West Virginia,1,45,Monthly
33,36,Male,Kansas,1,37,Annually
34,54,Male,Colorado,1,45,Quarterly
35,36,Male,North Dakota,1,38,Quarterly
36,54,Male,Massachusetts,1,48,Bi-Weekly
37,35,Male,Illinois,1,44,Fortnightly
38,35,Male,Indiana,1,10,Weekly
39,29,Male,Florida,1,44,Every 3 Months
40,70,Male,Arizona,1,18,Monthly
41,69,Male,Louisiana,1,31,Quarterly
42,67,Male,Alaska,1,40,Annually
43,20,Male,Tennessee,1,15,Annually
44,25,Male,Ohio,1,19,Fortnightly
45,39,Male,Kentucky,1,45,Weekly
46,50,Male,Tennessee,1,25,Annually
47,57,Male,California,1,45,Quarterly
48,55,Male,Montana,1,36,Weekly
49,42,Male,Nevada,1,38,Monthly
50,68,Male,New Jersey,1,34,Bi-Weekly
51,49,Male,Maryland,1,39,Bi-Weekly
52,59,Male,Vermont,1,7,Quarterly
53,42,Male,Alaska,1,26,Weekly
54,29,Male,Mississippi,1,35,Weekly
55,47,Male,New Mexico,1,35,Bi-Weekly
56,40,Male,South Carolina,1,49,Annually
57,41,Male,Mississippi,1,46,Weekly
58,21,Male,West Virginia,1,17,Fortnightly
59,69,Male,Missouri,1,29,Monthly
60,63,Male,Louisiana,1,4,Weekly
61,50,Male,Idaho,1,17,Weekly
62,55,Male,Texas,1,21,Every 3 Months
63,30,Male,Mississippi,1,31,Fortnightly
64,33,Male,Arizona,1,43,Weekly
65,65,Male,Alabama,1,18,Fortnightly
66,65,Male,New Jersey,1,44,Every 3 Months
67,31,Male,Pennsylvania,1,3,Every 3 Months
68,45,Male,Connecticut,1,49,Monthly
69,57,Male,Utah,1,21,Every 3 Months
70,48,Male,Tennessee,1,5,Weekly
71,22,Male,Alabama,1,32,Every 3 Months
72,36,Male,Virginia,1,34,Annually
73,18,Male,Georgia,1,21,Every 3 Months
74,48,Male,Hawaii,1,43,Bi-Weekly
75,49,Male,Indiana,1,3,Monthly
76,64,Male,Utah,1,21,Annually
77,50,Male,Delaware,1,32,Monthly
78,22,Male,Delaware,1,36,Fortnightly
79,50,Male,Nebraska,1,50,Fortnightly
80,38,Male,Iowa,1,43,Every 3 Months
81,19,Male,New York,1,24,Every 3 Months
82,67,Male,Virginia,1,36,Every 3 Months
83,19,Male,Georgia,1,21,Every 3 Months
84,36,Male,Texas,1,34,Weekly
85,52,Male,Arizona,1,42,Every 3 Months
86,53,Male,New Mexico,1,2,Bi-Weekly
87,24,Male,Nevada,1,47,Bi-Weekly
88,52,Male,Ohio,1,44,Fortnightly
89,33,Male,Wyoming,1,35,Monthly
90,47,Male,California,1,15,Quarterly
91,25,Male,South Carolina,1,29,Monthly
92,44,Male,South Carolina,1,18,Every 3 Months
93,61,Male,Texas,1,13,Every 3 Months
94,37,Male,Florida,1,46,Weekly
95,58,Male,Nevada,1,28,Weekly
96,37,Male,Missouri,1,48,Monthly
97,32,Male,Delaware,1,43,Every 3 Months
98,21,Male,Virginia,1,37,Annually
99,20,Male,New York,1,20,Annually
100,26,Male,Missouri,1,33,Quarterly
101,62,Male,South Dakota,1,31,Fortnightly
102,27,Male,North Dakota,1,50,Bi-Weekly
103,51,Male,Oklahoma,1,35,Quarterly
104,54,Male,West Virginia,1,22,Bi-Weekly
105,55,Male,New Hampshire,1,1,Monthly
106,69,Male,New York,1,4,Annually
107,64,Male,Minnesota,1,31,Monthly
108,28,Male,Maryland,1,46,Fortnightly
109,70,Male,Montana,1,32,Bi-Weekly
110,58,Male,Alabama,1,43,Fortnightly
111,56,Male,New York,1,26,Fortnightly
112,26,Male,Massachusetts,1,9,Annually
113,37,Male,Florida,1,28,Bi-Weekly
114,44,Male,New Jersey,1,20,Quarterly
115,70,Male,Massachusetts,1,9,Weekly
116,53,Male,Wyoming,1,48,Every 3 Months
117,55,Male,Virginia,1,12,Annually
118,50,Male,South Dakota,1,29,Fortnightly
119,50,Male,Kentucky,1,27,Bi-Weekly
120,38,Male,Wyoming,1,44,Annually
121,64,Male,West Virginia,1,32,Annually
122,19,Male,Virginia,1,11,Fortnightly
123,40,Male,Washington,1,44,Fortnightly
124,57,Male,Louisiana,1,46,Weekly
125,44,Male,Nevada,1,50,Annually
126,49,Male,California,1,45,Every 3 Months
127,43,Male,Mississippi,1,48,Every 3 Months
128,24,Male,Mississippi,1,26,Weekly
129,20,Male,California,1,21,Fortnightly
130,24,Male,Pennsylvania,1,49,Bi-Weekly
