product_ID,product_item,product_category,product_size,product_colour,product_season,product_rating
11223,Blouse,Clothing,L,Gray,Winter,3.1
11224,Sweater,Clothing,L,Maroon,Winter,3.1
11225,Jeans,Clothing,S,Maroon,Spring,3.1
11226,Sandals,Footwear,M,Maroon,Spring,3.5
11227,Blouse,Clothing,M,Turquoise,Spring,2.7
11228,Sneakers,Footwear,M,White,Summer,2.9
11229,Shirt,Clothing,M,Gray,Fall,3.2
11230,Shorts,Clothing,L,Charcoal,Winter,3.2
11231,Coat,Outerwear,L,Silver,Summer,2.6
11232,Handbag,Accessories,M,Pink,Spring,4.8
11233,Shoes,Footwear,L,Purple,Fall,4.1
11234,Shorts,Clothing,S,Olive,Winter,4.9
11235,Coat,Outerwear,M,Gold,Winter,4.5
11236,Dress,Clothing,M,Violet,Spring,4.7
11237,Coat,Outerwear,L,Teal,Winter,4.7
11238,Skirt,Clothing,M,Teal,Winter,2.8
11239,Sunglasses,Accessories,S,Gray,Spring,4.1
11240,Dress,Clothing,XL,Lavender,Winter,4.7
11241,Sweater,Clothing,S,Black,Summer,4.6
11242,Pants,Clothing,M,Green,Summer,3.3
11243,Pants,Clothing,M,Black,Winter,2.8
11244,Pants,Clothing,M,Charcoal,Winter,4.1
11245,Pants,Clothing,M,Peach,Summer,3.2
11246,Pants,Clothing,XL,White,Winter,4.4
11247,Jacket,Outerwear,M,Green,Fall,2.9
11248,Hoodie,Clothing,M,Silver,Summer,3.6
11249,Jewelry,Accessories,M,Red,Spring,3.6
11250,Shorts,Clothing,L,Cyan,Summer,5
11251,Handbag,Accessories,M,Gray,Fall,4.4
11252,Dress,Clothing,S,Black,Fall,4.1
11253,Jewelry,Accessories,L,Black,Winter,4.7
11254,Dress,Clothing,L,Brown,Winter,4.7
11255,Jacket,Outerwear,M,Silver,Summer,4.9
11256,Pants,Clothing,L,Green,Summer,3.3
11257,T-shirt,Clothing,L,Violet,Spring,4.6
11258,Blouse,Clothing,M,Cyan,Summer,4
11259,T-shirt,Clothing,M,Maroon,Winter,4.6
11260,Jeans,Clothing,S,Cyan,Summer,2.8
11261,Dress,Clothing,M,Red,Winter,3.7
11262,Pants,Clothing,S,Turquoise,Summer,4.2
11263,Handbag,Accessories,L,Beige,Winter,4.6
11264,Scarf,Accessories,M,Orange,Spring,4.5
11265,Coat,Outerwear,M,Beige,Spring,4.1
11266,Scarf,Accessories,L,Lavender,Fall,3.7
11267,Hat,Accessories,S,Silver,Summer,4.6
11268,Socks,Clothing,XL,Indigo,Fall,2.9
11269,Shirt,Clothing,L,White,Summer,2.9
11270,Jewelry,Accessories,M,Charcoal,Winter,4.5
11271,Shirt,Clothing,M,Orange,Summer,2.7
11272,Hoodie,Clothing,S,Indigo,Spring,4.6
11273,Blouse,Clothing,M,Red,Spring,3.7
11274,Skirt,Clothing,XL,Gray,Winter,4.7
11275,T-shirt,Clothing,M,Green,Summer,2.6
11276,Skirt,Clothing,S,Peach,Winter,3.9
11277,Coat,Outerwear,M,Brown,Summer,4.2
11278,Jacket,Outerwear,M,Lavender,Winter,3
11279,Backpack,Accessories,XL,Brown,Summer,4.7
11280,Coat,Outerwear,M,White,Summer,4.4
11281,Hoodie,Clothing,M,Charcoal,Summer,4.2
11282,Belt,Accessories,L,Yellow,Spring,4.6
11283,Sweater,Clothing,L,Brown,Summer,4
11284,Scarf,Accessories,M,Orange,Winter,4.7
11285,Sneakers,Footwear,S,Magenta,Spring,3.8
11286,Sunglasses,Accessories,L,Lavender,Winter,2.7
11287,Boots,Footwear,S,Green,Fall,4.8
11288,Backpack,Accessories,M,Purple,Spring,4.8
11289,Blouse,Clothing,S,Magenta,Winter,4.7
11290,Coat,Outerwear,L,Gray,Winter,4.4
11291,Handbag,Accessories,L,Silver,Summer,3.9
11292,Belt,Accessories,S,Cyan,Summer,4.4
11293,Belt,Accessories,M,Magenta,Fall,4.2
11294,Dress,Clothing,L,Gold,Summer,2.9
11295,Dress,Clothing,M,Olive,Winter,2.9
