purchase_id,product_ID,customer_id,purchase_amount,purchase_shipping type,purchase_discount,purchase_promocode,purchase_payment type
200,11223,1,53,Express,Yes,Yes,Venmo
201,11224,2,64,Express,Yes,Yes,Cash
202,11225,3,73,Free Shipping,Yes,Yes,Credit Card
203,11226,4,90,Next Day Air,Yes,Yes,PayPal
205,11227,5,49,Free Shipping,Yes,Yes,PayPal
206,11228,6,20,Standard,Yes,Yes,Venmo
207,11229,7,85,Free Shipping,Yes,Yes,Cash
208,11230,8,34,Free Shipping,Yes,Yes,Credit Card
209,11231,9,97,Express,Yes,Yes,Venmo
211,11232,10,31,2-Day Shipping,Yes,Yes,Cash
212,11233,11,34,Store Pickup,Yes,Yes,Bank Transfer
213,11234,12,68,Store Pickup,Yes,Yes,Bank Transfer
214,11235,13,72,Express,Yes,Yes,Venmo
215,11236,14,51,Express,Yes,Yes,PayPal
217,11237,15,53,Free Shipping,Yes,Yes,Debit Card
218,11238,16,81,Store Pickup,Yes,Yes,PayPal
219,11239,17,36,Next Day Air,Yes,Yes,Debit Card
220,11240,18,38,2-Day Shipping,Yes,Yes,Venmo
221,11241,19,48,Free Shipping,Yes,Yes,Cash
223,11242,20,90,Standard,Yes,Yes,Debit Card
224,11243,21,51,Express,Yes,Yes,Cash
225,11244,22,62,Store Pickup,Yes,Yes,Debit Card
226,11245,23,37,Store Pickup,Yes,Yes,Debit Card
227,11246,24,88,Express,Yes,Yes,Credit Card
229,11247,25,22,Store Pickup,Yes,Yes,Debit Card
230,11248,26,25,Express,Yes,Yes,PayPal
231,11249,27,20,Next Day Air,Yes,Yes,Credit Card
232,11250,28,56,Next Day Air,Yes,Yes,Bank Transfer
233,11251,29,94,Free Shipping,Yes,Yes,PayPal
235,11252,30,48,Store Pickup,Yes,Yes,Credit Card
236,11253,31,31,Standard,Yes,Yes,Credit Card
237,11254,32,79,Store Pickup,Yes,Yes,Venmo
238,11255,33,67,Free Shipping,Yes,Yes,Venmo
239,11256,34,38,Store Pickup,Yes,Yes,Cash
241,11257,35,91,2-Day Shipping,Yes,Yes,PayPal
242,11258,36,33,2-Day Shipping,Yes,Yes,Credit Card
243,11259,37,69,Free Shipping,Yes,Yes,PayPal
244,11260,38,45,Store Pickup,Yes,Yes,PayPal
245,11261,39,37,2-Day Shipping,Yes,Yes,Venmo
247,11262,40,60,Express,Yes,Yes,Credit Card
248,11263,41,76,Next Day Air,Yes,Yes,Debit Card
249,11264,42,39,Standard,Yes,Yes,Venmo
250,11265,43,100,Free Shipping,Yes,Yes,PayPal
251,11266,44,69,Store Pickup,Yes,Yes,PayPal
253,11267,45,53,Free Shipping,Yes,Yes,PayPal
254,11268,46,21,2-Day Shipping,Yes,Yes,PayPal
255,11269,47,43,Store Pickup,Yes,Yes,Cash
256,11270,48,54,Free Shipping,Yes,Yes,Cash
257,11271,49,55,Store Pickup,Yes,Yes,Cash
259,11272,50,30,Next Day Air,Yes,Yes,Debit Card
260,11273,51,28,Store Pickup,Yes,Yes,Debit Card
261,11274,52,59,2-Day Shipping,Yes,Yes,Credit Card
262,11275,53,20,Free Shipping,Yes,Yes,Credit Card
263,11276,54,24,Next Day Air,Yes,Yes,Credit Card
265,11277,55,94,Next Day Air,Yes,Yes,Debit Card
266,11278,56,28,2-Day Shipping,Yes,Yes,Credit Card
267,11279,57,73,Store Pickup,Yes,Yes,Credit Card
268,11280,58,64,Store Pickup,Yes,Yes,Debit Card
269,11281,59,54,Free Shipping,Yes,Yes,Venmo
271,11282,60,79,Standard,Yes,Yes,Debit Card
272,11283,61,37,Express,Yes,Yes,Cash
273,11284,62,68,Store Pickup,Yes,Yes,Credit Card
274,11285,63,21,Free Shipping,Yes,Yes,Credit Card
275,11286,64,79,2-Day Shipping,Yes,Yes,Credit Card
277,11287,65,83,Standard,Yes,Yes,Debit Card
278,11288,66,36,2-Day Shipping,Yes,Yes,Venmo
279,11289,67,94,2-Day Shipping,Yes,Yes,Venmo
280,11290,68,33,Store Pickup,Yes,Yes,Debit Card
281,11291,69,46,Next Day Air,Yes,Yes,Cash
283,11292,70,70,Express,Yes,Yes,Cash
284,11293,71,29,Express,Yes,Yes,Debit Card
285,11294,72,48,Express,Yes,Yes,Bank Transfer
286,11295,73,26,Store Pickup,Yes,Yes,Bank Transfer
287,11296,74,85,Free Shipping,Yes,Yes,Bank Transfer
289,11297,75,58,Express,Yes,Yes,Cash
290,11298,76,85,Free Shipping,Yes,Yes,Credit Card
291,11299,77,43,Free Shipping,Yes,Yes,Venmo
292,11300,78,53,Next Day Air,Yes,Yes,Debit Card
293,11301,79,91,Free Shipping,Yes,Yes,Venmo
295,11302,80,96,2-Day Shipping,Yes,Yes,Bank Transfer
296,11303,81,72,Store Pickup,Yes,Yes,Credit Card
297,11304,82,96,Express,Yes,Yes,Credit Card
298,11305,83,28,2-Day Shipping,Yes,Yes,Credit Card
299,11306,84,40,Standard,Yes,Yes,Bank Transfer
301,11307,85,32,Standard,Yes,Yes,Bank Transfer
302,11308,86,95,Next Day Air,Yes,Yes,Debit Card
303,11309,87,41,2-Day Shipping,Yes,Yes,Cash
304,11310,88,53,2-Day Shipping,Yes,Yes,Debit Card
305,11311,89,47,Free Shipping,Yes,Yes,Credit Card
307,11312,90,83,Next Day Air,Yes,Yes,Cash
308,11313,91,48,Express,Yes,Yes,Credit Card
309,11314,92,99,Standard,Yes,Yes,Credit Card
310,11315,93,87,2-Day Shipping,Yes,Yes,Venmo
311,11316,94,62,Standard,Yes,Yes,Credit Card
313,11317,95,76,Free Shipping,Yes,Yes,Credit Card
314,11318,96,100,Free Shipping,Yes,Yes,PayPal
315,11319,97,73,Express,Yes,Yes,Venmo
316,11320,98,92,Store Pickup,Yes,Yes,Cash
317,11321,99,67,Next Day Air,Yes,Yes,Bank Transfer
319,11322,100,40,Express,Yes,Yes,Debit Card
320,11323,101,98,Express,Yes,Yes,Cash
321,11324,102,85,Express,Yes,Yes,Credit Card
322,11325,103,67,Next Day Air,Yes,Yes,Credit Card
323,11326,104,89,Next Day Air,Yes,Yes,Venmo
325,11327,105,24,2-Day Shipping,Yes,Yes,PayPal
326,11328,106,96,Next Day Air,Yes,Yes,Bank Transfer
327,11329,107,35,Standard,Yes,Yes,Credit Card
328,11330,108,67,Next Day Air,Yes,Yes,PayPal
329,11331,109,79,Next Day Air,Yes,Yes,Bank Transfer
331,11332,110,85,Next Day Air,Yes,Yes,Bank Transfer
332,11333,111,26,Standard,Yes,Yes,Venmo
333,11334,112,75,Free Shipping,Yes,Yes,Credit Card
334,11335,113,65,Free Shipping,Yes,Yes,PayPal
335,11336,114,54,Next Day Air,Yes,Yes,PayPal
337,11337,115,95,Store Pickup,Yes,Yes,Cash
338,11338,116,94,Standard,Yes,Yes,Debit Card
339,11339,117,86,Free Shipping,Yes,Yes,Venmo
340,11340,118,32,Express,Yes,Yes,Cash
341,11341,119,45,2-Day Shipping,Yes,Yes,Cash
343,11342,120,76,Express,Yes,Yes,Cash
344,11343,121,84,Express,Yes,Yes,Bank Transfer
345,11344,122,72,Standard,Yes,Yes,Cash
346,11345,123,40,2-Day Shipping,Yes,Yes,Cash
