customer_id,customer_age,customer_gender,product_id,product_item ,product_category,purchase_id,_purchase_id,purchase_amount,customer_location,product_size,product_colour,product_season,product_rating,customer_subscription,purchase_shipping type,purchase_discount,purchase_promocode,customer_purchase count,purchase_payment type,customer_purchase frequency,purchase_date
1,55,Male,1,Blouse,Clothing,1,200,53.00,Kentucky,L,Gray,Winter,3.1,1,Express,Yes,Yes,14,Venmo,Fortnightly,2024-02-16
2,19,Male,2,Sweater,Clothing,2,201,64.00,Maine,L,Maroon,Winter,3.1,1,Express,Yes,Yes,2,Cash,Fortnightly,2024-02-11
3,50,Male,3,Jeans,Clothing,3,202,73.00,Massachusetts,S,Maroon,Spring,3.1,1,Free Shipping,Yes,Yes,23,Credit Card,Weekly,2024-03-17
4,21,Male,4,Sandals,Footwear,4,203,90.00,Rhode Island,M,Maroon,Spring,3.5,1,Next Day Air,Yes,Yes,49,PayPal,Weekly,2024-05-20
5,45,Male,5,Blouse,Clothing,5,205,49.00,Oregon,M,Turquoise,Spring,2.7,1,Free Shipping,Yes,Yes,31,PayPal,Annually,2024-04-06
6,46,Male,6,Sneakers,Footwear,6,206,20.00,Wyoming,M,White,Summer,2.9,1,Standard,Yes,Yes,14,Venmo,Weekly,2024-06-16
7,63,Male,7,Shirt,Clothing,7,207,85.00,Montana,M,Gray,Fall,3.2,1,Free Shipping,Yes,Yes,49,Cash,Quarterly,2024-10-26
8,27,Male,8,Shorts,Clothing,8,208,34.00,Louisiana,L,Charcoal,Winter,3.2,1,Free Shipping,Yes,Yes,19,Credit Card,Weekly,2024-02-17
9,26,Male,9,Coat,Outerwear,9,209,97.00,West Virginia,L,Silver,Summer,2.6,1,Express,Yes,Yes,8,Venmo,Annually,2024-08-27
10,57,Male,10,Handbag,Accessories,10,211,31.00,Missouri,M,Pink,Spring,4.8,1,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,2024-05-28
11,53,Male,11,Shoes,Footwear,11,212,34.00,Arkansas,L,Purple,Fall,4.1,1,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,2024-10-05
12,30,Male,12,Shorts,Clothing,12,213,68.00,Hawaii,S,Olive,Winter,4.9,1,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,2024-01-20
13,61,Male,13,Coat,Outerwear,13,214,72.00,Delaware,M,Gold,Winter,4.5,1,Express,Yes,Yes,37,Venmo,Fortnightly,2024-02-17
14,65,Male,14,Dress,Clothing,14,215,51.00,New Hampshire,M,Violet,Spring,4.7,1,Express,Yes,Yes,31,PayPal,Weekly,2024-03-06
15,64,Male,15,Coat,Outerwear,15,217,53.00,New York,L,Teal,Winter,4.7,1,Free Shipping,Yes,Yes,34,Debit Card,Weekly,2024-01-24
16,64,Male,16,Skirt,Clothing,16,218,81.00,Rhode Island,M,Teal,Winter,2.8,1,Store Pickup,Yes,Yes,8,PayPal,Monthly,2024-02-22
17,25,Male,17,Sunglasses,Accessories,17,219,36.00,Alabama,S,Gray,Spring,4.1,1,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,2024-05-18
18,53,Male,18,Dress,Clothing,18,220,38.00,Mississippi,XL,Lavender,Winter,4.7,1,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,2024-02-24
19,52,Male,19,Sweater,Clothing,19,221,48.00,Montana,S,Black,Summer,4.6,1,Free Shipping,Yes,Yes,17,Cash,Weekly,2024-06-23
20,66,Male,20,Pants,Clothing,20,223,90.00,Rhode Island,M,Green,Summer,3.3,1,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,2024-06-09
21,21,Male,21,Pants,Clothing,21,224,51.00,Louisiana,M,Black,Winter,2.8,1,Express,Yes,Yes,50,Cash,Every 3 Months,2024-12-15
