product_category,product_season,product_rating,total_revenue,avg_spend,purchase_count
Clothing,Winter,4.90,1954.00,69.785714,28
Clothing,Spring,4.20,1519.00,60.760000,25
Clothing,Fall,3.40,1482.00,61.750000,24
Clothing,Winter,3.40,1469.00,58.760000,25
Clothing,Spring,2.90,1460.00,58.400000,25
Clothing,Spring,4.30,1433.00,68.238095,21
Accessories,Spring,4.50,1419.00,59.125000,24
Clothing,Spring,4.60,1377.00,65.571429,21
Clothing,Summer,3.30,1376.00,52.923077,26
Clothing,Winter,3.70,1358.00,61.727273,22
Clothing,Winter,3.10,1343.00,61.045455,22
Clothing,Winter,3.50,1323.00,66.150000,20
Clothing,Spring,3.90,1318.00,59.909091,22
Clothing,Fall,3.00,1307.00,59.409091,22
Clothing,Fall,2.80,1300.00,56.521739,23
Clothing,Summer,3.00,1299.00,61.857143,21
Clothing,Fall,4.20,1298.00,61.809524,21
Clothing,Spring,4.00,1282.00,61.047619,21
Clothing,Fall,3.60,1276.00,58.000000,22
Clothing,Fall,4.90,1274.00,74.941176,17
Clothing,Winter,4.10,1274.00,63.700000,20
Clothing,Spring,3.70,1257.00,62.850000,20
Clothing,Summer,2.70,1256.00,57.090909,22
Clothing,Winter,4.20,1252.00,69.555556,18
Accessories,Winter,3.40,1246.00,62.300000,20
Clothing,Winter,3.30,1238.00,58.952381,21
Clothing,Spring,3.80,1231.00,64.789474,19
Clothing,Spring,3.40,1221.00,61.050000,20
Accessories,Summer,4.40,1201.00,57.190476,21
Clothing,Fall,3.90,1195.00,62.894737,19
Clothing,Spring,4.40,1194.00,66.333333,18
Accessories,Fall,4.10,1191.00,66.166667,18
Clothing,Winter,4.70,1180.00,65.555556,18
Clothing,Winter,4.00,1180.00,62.105263,19
Clothing,Summer,2.60,1174.00,61.789474,19
Clothing,Spring,4.80,1167.00,58.350000,20
Clothing,Fall,2.90,1163.00,68.411765,17
Clothing,Fall,2.70,1157.00,60.894737,19
Clothing,Spring,3.10,1151.00,63.944444,18
Accessories,Spring,4.90,1151.00,63.944444,18
Clothing,Fall,3.10,1146.00,63.666667,18
Clothing,Winter,4.60,1139.00,56.950000,20
Clothing,Fall,4.10,1129.00,66.411765,17
Clothing,Fall,3.50,1116.00,65.647059,17
Clothing,Summer,2.90,1107.00,55.350000,20
Clothing,Summer,4.40,1102.00,61.222222,18
Clothing,Summer,3.80,1094.00,60.777778,18
Clothing,Winter,3.60,1089.00,57.315789,19
Clothing,Fall,4.00,1087.00,57.210526,19
Accessories,Winter,3.00,1084.00,67.750000,16
Clothing,Spring,2.70,1070.00,53.500000,20
Clothing,Spring,3.00,1066.00,62.705882,17
Clothing,Fall,4.70,1063.00,62.529412,17
Clothing,Spring,2.60,1060.00,55.789474,19
Clothing,Winter,2.70,1055.00,70.333333,15
Clothing,Summer,3.20,1048.00,65.500000,16
Accessories,Summer,4.70,1047.00,61.588235,17
Clothing,Spring,2.80,1040.00,61.176471,17
Clothing,Winter,3.20,1027.00,60.411765,17
Clothing,Summer,4.20,1026.00,57.000000,18
Accessories,Fall,3.60,1022.00,60.117647,17
Accessories,Fall,4.20,1014.00,67.600000,15
Clothing,Winter,4.30,1008.00,56.000000,18
Clothing,Fall,2.60,1006.00,55.888889,18
Accessories,Summer,4.30,1003.00,62.687500,16
Accessories,Fall,2.60,1003.00,66.866667,15
Clothing,Winter,2.80,1001.00,62.562500,16
Accessories,Summer,4.00,1000.00,71.428571,14
Clothing,Spring,4.50,997.00,62.312500,16
Clothing,Spring,4.70,992.00,70.857143,14
Accessories,Winter,3.50,992.00,52.210526,19
Accessories,Summer,3.90,991.00,70.785714,14
Accessories,Summer,4.60,986.00,58.000000,17
Clothing,Spring,3.20,983.00,57.823529,17
Clothing,Winter,2.60,972.00,57.176471,17
Clothing,Summer,3.40,969.00,57.000000,17
Accessories,Summer,2.70,956.00,68.285714,14
Clothing,Fall,3.70,954.00,56.117647,17
Clothing,Winter,3.00,947.00,52.611111,18
Clothing,Summer,4.80,947.00,67.642857,14
Accessories,Winter,4.80,944.00,62.933333,15
Clothing,Summer,3.70,929.00,48.894737,19
Clothing,Fall,3.30,928.00,66.285714,14
Accessories,Fall,3.20,925.00,61.666667,15
Clothing,Winter,2.90,906.00,56.625000,16
Accessories,Winter,4.00,905.00,64.642857,14
Accessories,Fall,2.90,898.00,64.142857,14
Accessories,Fall,4.50,897.00,69.000000,13
Clothing,Summer,4.00,895.00,52.647059,17
Accessories,Spring,4.00,895.00,59.666667,15
Accessories,Spring,3.40,894.00,49.666667,18
Accessories,Fall,3.30,888.00,55.500000,16
Accessories,Fall,4.40,884.00,63.142857,14
Clothing,Summer,3.50,882.00,51.882353,17
Clothing,Fall,4.60,881.00,62.928571,14
Clothing,Winter,3.90,879.00,51.705882,17
Accessories,Fall,4.30,877.00,67.461538,13
Clothing,Summer,4.60,875.00,54.687500,16
Accessories,Summer,3.40,856.00,57.066667,15
Clothing,Summer,4.50,855.00,57.000000,15
Accessories,Summer,2.80,854.00,56.933333,15
Accessories,Fall,3.00,838.00,64.461538,13
Accessories,Spring,3.10,838.00,64.461538,13
Clothing,Fall,3.20,836.00,64.307692,13
Clothing,Spring,3.30,836.00,76.000000,11
Accessories,Summer,4.80,835.00,69.583333,12
Accessories,Spring,3.00,829.00,63.769231,13
Clothing,Winter,3.80,828.00,63.692308,13
Clothing,Spring,4.90,826.00,48.588235,17
Accessories,Winter,3.30,822.00,58.714286,14
Accessories,Winter,2.60,820.00,63.076923,13
Accessories,Fall,4.00,818.00,58.428571,14
Accessories,Spring,4.60,816.00,51.000000,16
Clothing,Summer,4.70,811.00,57.928571,14
Accessories,Fall,4.70,808.00,57.714286,14
Accessories,Fall,3.90,808.00,53.866667,15
Accessories,Summer,3.50,801.00,66.750000,12
Accessories,Fall,3.80,794.00,61.076923,13
Accessories,Spring,3.60,791.00,52.733333,15
Accessories,Winter,3.20,788.00,60.615385,13
Clothing,Summer,4.90,787.00,56.214286,14
Accessories,Summer,3.60,781.00,60.076923,13
Accessories,Spring,3.50,779.00,55.642857,14
Accessories,Winter,3.90,769.00,69.909091,11
Clothing,Summer,4.10,764.00,69.454545,11
Accessories,Winter,4.20,763.00,63.583333,12
Accessories,Summer,2.60,763.00,69.363636,11
Clothing,Fall,3.80,761.00,63.416667,12
Clothing,Summer,3.10,755.00,47.187500,16
Accessories,Fall,4.90,751.00,62.583333,12
Accessories,Summer,2.90,748.00,53.428571,14
Accessories,Winter,4.60,745.00,62.083333,12
Clothing,Fall,4.50,744.00,53.142857,14
Accessories,Winter,4.50,741.00,67.363636,11
Accessories,Summer,3.30,739.00,61.583333,12
Clothing,Spring,5.00,737.00,61.416667,12
Accessories,Fall,3.50,733.00,56.384615,13
Clothing,Fall,4.80,732.00,52.285714,14
Clothing,Spring,3.60,726.00,60.500000,12
Accessories,Spring,3.20,720.00,60.000000,12
Accessories,Summer,3.70,719.00,59.916667,12
Accessories,Fall,3.10,708.00,59.000000,12
Accessories,Summer,3.10,707.00,50.500000,14
Clothing,Fall,4.30,704.00,50.285714,14
Accessories,Winter,4.90,703.00,58.583333,12
Accessories,Spring,4.80,700.00,58.333333,12
Clothing,Spring,3.50,700.00,53.846154,13
Accessories,Winter,3.80,690.00,57.500000,12
Accessories,Fall,2.70,687.00,62.454545,11
Clothing,Summer,3.90,686.00,49.000000,14
Footwear,Fall,4.80,685.00,76.111111,9
Accessories,Winter,2.80,680.00,68.000000,10
Clothing,Spring,4.10,680.00,56.666667,12
Clothing,Winter,4.80,679.00,61.727273,11
Footwear,Summer,3.90,669.00,60.818182,11
Accessories,Winter,4.40,667.00,66.700000,10
Clothing,Winter,4.40,666.00,60.545455,11
Accessories,Spring,2.90,661.00,50.846154,13
Footwear,Fall,4.90,660.00,66.000000,10
Footwear,Winter,3.70,658.00,65.800000,10
Accessories,Spring,3.80,658.00,54.833333,12
Accessories,Fall,3.40,654.00,59.454545,11
Clothing,Fall,4.40,652.00,54.333333,12
Accessories,Spring,4.40,627.00,62.700000,10
Accessories,Spring,4.10,624.00,62.400000,10
Accessories,Fall,3.70,624.00,62.400000,10
Accessories,Winter,4.70,622.00,47.846154,13
Accessories,Summer,4.90,622.00,69.111111,9
Clothing,Fall,5.00,616.00,77.000000,8
Footwear,Summer,4.10,612.00,68.000000,9
