Young Budget Shoppers,,
,,
Criterias,Age < 30,
,Low Spend,avrage spend is 1713
,High Frequency,avrage purchase count is 29
,,
,,
,,
,,
Row Labels,Count of customer_id,
21,4,
51,1,
2601,1,
50,1,
4500,1,
48,1,
2016,1,
38,1,
3496,1,
22,2,
37,1,
1961,1,
33,1,
957,1,
24,3,
50,1,
3350,1,
48,1,
1968,1,
45,1,
4275,1,
25,4,
51,1,
3723,1,
45,1,
1620,1,
31,1,
1426,1,
30,1,
1440,1,
26,1,
34,1,
1360,1,
27,2,
51,1,
4335,1,
35,1,
805,1,
28,2,
47,2,
1363,1,
3149,1,
29,2,
45,1,
1665,1,
36,1,
864,1,
30,3,
43,2,
2494,1,
3655,1,
32,1,
672,1,
Grand Total,23,
