product_id,product_item ,product_category,product_size,product_colour,product_season,product_rating
1,Blouse,Clothing,L,Gray,Winter,3.1
2,Sweater,Clothing,L,Maroon,Winter,3.1
3,Jeans,Clothing,S,Maroon,Spring,3.1
4,Sandals,Footwear,M,Maroon,Spring,3.5
5,Blouse,Clothing,M,Turquoise,Spring,2.7
6,Sneakers,Footwear,M,White,Summer,2.9
7,Shirt,Clothing,M,Gray,Fall,3.2
8,Shorts,Clothing,L,Charcoal,Winter,3.2
9,Coat,Outerwear,L,Silver,Summer,2.6
10,Handbag,Accessories,M,Pink,Spring,4.8
11,Shoes,Footwear,L,Purple,Fall,4.1
12,Shorts,Clothing,S,Olive,Winter,4.9
13,Coat,Outerwear,M,Gold,Winter,4.5
14,Dress,Clothing,M,Violet,Spring,4.7
15,Coat,Outerwear,L,Teal,Winter,4.7
16,Skirt,Clothing,M,Teal,Winter,2.8
17,Sunglasses,Accessories,S,Gray,Spring,4.1
18,Dress,Clothing,XL,Lavender,Winter,4.7
19,Sweater,Clothing,S,Black,Summer,4.6
20,Pants,Clothing,M,Green,Summer,3.3
21,Pants,Clothing,M,Black,Winter,2.8
22,Pants,Clothing,M,Charcoal,Winter,4.1
23,Pants,Clothing,M,Peach,Summer,3.2
24,Pants,Clothing,XL,White,Winter,4.4
25,Jacket,Outerwear,M,Green,Fall,2.9
26,Hoodie,Clothing,M,Silver,Summer,3.6
27,Jewelry,Accessories,M,Red,Spring,3.6
28,Shorts,Clothing,L,Cyan,Summer,5
29,Handbag,Accessories,M,Gray,Fall,4.4
30,Dress,Clothing,S,Black,Fall,4.1
31,Jewelry,Accessories,L,Black,Winter,4.7
32,Dress,Clothing,L,Brown,Winter,4.7
33,Jacket,Outerwear,M,Silver,Summer,4.9
34,Pants,Clothing,L,Green,Summer,3.3
35,T-shirt,Clothing,L,Violet,Spring,4.6
36,Blouse,Clothing,M,Cyan,Summer,4
37,T-shirt,Clothing,M,Maroon,Winter,4.6
38,Jeans,Clothing,S,Cyan,Summer,2.8
39,Dress,Clothing,M,Red,Winter,3.7
40,Pants,Clothing,S,Turquoise,Summer,4.2
41,Handbag,Accessories,L,Beige,Winter,4.6
42,Scarf,Accessories,M,Orange,Spring,4.5
43,Coat,Outerwear,M,Beige,Spring,4.1
44,Scarf,Accessories,L,Lavender,Fall,3.7
45,Hat,Accessories,S,Silver,Summer,4.6
46,Socks,Clothing,XL,Indigo,Fall,2.9
47,Shirt,Clothing,L,White,Summer,2.9
48,Jewelry,Accessories,M,Charcoal,Winter,4.5
49,Shirt,Clothing,M,Orange,Summer,2.7
50,Hoodie,Clothing,S,Indigo,Spring,4.6
51,Blouse,Clothing,M,Red,Spring,3.7
52,Skirt,Clothing,XL,Gray,Winter,4.7
53,T-shirt,Clothing,M,Green,Summer,2.6
54,Skirt,Clothing,S,Peach,Winter,3.9
55,Coat,Outerwear,M,Brown,Summer,4.2
56,Jacket,Outerwear,M,Lavender,Winter,3
57,Backpack,Accessories,XL,Brown,Summer,4.7
58,Coat,Outerwear,M,White,Summer,4.4
59,Hoodie,Clothing,M,Charcoal,Summer,4.2
60,Belt,Accessories,L,Yellow,Spring,4.6
61,Sweater,Clothing,L,Brown,Summer,4
62,Scarf,Accessories,M,Orange,Winter,4.7
63,Sneakers,Footwear,S,Magenta,Spring,3.8
64,Sunglasses,Accessories,L,Lavender,Winter,2.7
65,Boots,Footwear,S,Green,Fall,4.8
