_purchase_id,purchase_id,customer_id,product_id,product_item ,purchase_amount,purchase_shipping type,purchase_discount,purchase_promocode,purchase_payment type,purchase_date
200,1,1,1,Blouse,53,Express,Yes,Yes,Venmo,2024-02-16
201,2,2,2,Sweater,64,Express,Yes,Yes,Cash,2024-02-11
202,3,3,3,Jeans,73,Free Shipping,Yes,Yes,Credit Card,2024-03-17
203,4,4,4,Sandals,90,Next Day Air,Yes,Yes,PayPal,2024-05-20
205,5,5,5,Blouse,49,Free Shipping,Yes,Yes,PayPal,2024-04-06
206,6,6,6,Sneakers,20,Standard,Yes,Yes,Venmo,2024-06-16
207,7,7,7,Shirt,85,Free Shipping,Yes,Yes,Cash,2024-10-26
208,8,8,8,Shorts,34,Free Shipping,Yes,Yes,Credit Card,2024-02-17
209,9,9,9,Coat,97,Express,Yes,Yes,Venmo,2024-08-27
211,10,10,10,Handbag,31,2-Day Shipping,Yes,Yes,Cash,2024-05-28
212,11,11,11,Shoes,34,Store Pickup,Yes,Yes,Bank Transfer,2024-10-05
213,12,12,12,Shorts,68,Store Pickup,Yes,Yes,Bank Transfer,2024-01-20
214,13,13,13,Coat,72,Express,Yes,Yes,Venmo,2024-02-17
215,14,14,14,Dress,51,Express,Yes,Yes,PayPal,2024-03-06
217,15,15,15,Coat,53,Free Shipping,Yes,Yes,Debit Card,2024-01-24
218,16,16,16,Skirt,81,Store Pickup,Yes,Yes,PayPal,2024-02-22
219,17,17,17,Sunglasses,36,Next Day Air,Yes,Yes,Debit Card,2024-05-18
220,18,18,18,Dress,38,2-Day Shipping,Yes,Yes,Venmo,2024-02-24
221,19,19,19,Sweater,48,Free Shipping,Yes,Yes,Cash,2024-06-23
223,20,20,20,Pants,90,Standard,Yes,Yes,Debit Card,2024-06-09
224,21,21,21,Pants,51,Express,Yes,Yes,Cash,2024-12-15
225,22,22,22,Pants,62,Store Pickup,Yes,Yes,Debit Card,2024-01-17
226,23,23,23,Pants,37,Store Pickup,Yes,Yes,Debit Card,2024-08-23
227,24,24,24,Pants,88,Express,Yes,Yes,Credit Card,2024-12-01
229,25,25,25,Jacket,22,Store Pickup,Yes,Yes,Debit Card,2024-10-14
230,26,26,26,Hoodie,25,Express,Yes,Yes,PayPal,2024-06-22
231,27,27,27,Jewelry,20,Next Day Air,Yes,Yes,Credit Card,2024-04-06
232,28,28,28,Shorts,56,Next Day Air,Yes,Yes,Bank Transfer,2024-08-17
233,29,29,29,Handbag,94,Free Shipping,Yes,Yes,PayPal,2024-11-13
235,30,30,30,Dress,48,Store Pickup,Yes,Yes,Credit Card,2024-09-09
236,31,31,31,Jewelry,31,Standard,Yes,Yes,Credit Card,2024-01-08
237,32,32,32,Dress,79,Store Pickup,Yes,Yes,Venmo,2024-01-23
238,33,33,33,Jacket,67,Free Shipping,Yes,Yes,Venmo,2024-06-11
239,34,34,34,Pants,38,Store Pickup,Yes,Yes,Cash,2024-07-01
241,35,35,35,T-shirt,91,2-Day Shipping,Yes,Yes,PayPal,2024-05-11
242,36,36,36,Blouse,33,2-Day Shipping,Yes,Yes,Credit Card,2024-06-20
243,37,37,37,T-shirt,69,Free Shipping,Yes,Yes,PayPal,2024-12-05
244,38,38,38,Jeans,45,Store Pickup,Yes,Yes,PayPal,2024-08-15
245,39,39,39,Dress,37,2-Day Shipping,Yes,Yes,Venmo,2024-02-10
247,40,40,40,Pants,60,Express,Yes,Yes,Credit Card,2024-07-24
248,41,41,41,Handbag,76,Next Day Air,Yes,Yes,Debit Card,2024-02-23
249,42,42,42,Scarf,39,Standard,Yes,Yes,Venmo,2024-03-20
250,43,43,43,Coat,100,Free Shipping,Yes,Yes,PayPal,2024-05-15
251,44,44,44,Scarf,69,Store Pickup,Yes,Yes,PayPal,2024-09-23
253,45,45,45,Hat,53,Free Shipping,Yes,Yes,PayPal,2024-06-26
254,46,46,46,Socks,21,2-Day Shipping,Yes,Yes,PayPal,2024-09-14
255,47,47,47,Shirt,43,Store Pickup,Yes,Yes,Cash,2024-07-28
256,48,48,48,Jewelry,54,Free Shipping,Yes,Yes,Cash,2024-12-06
257,49,49,49,Shirt,55,Store Pickup,Yes,Yes,Cash,2024-06-24
259,50,50,50,Hoodie,30,Next Day Air,Yes,Yes,Debit Card,2024-03-19
260,51,51,51,Blouse,28,Store Pickup,Yes,Yes,Debit Card,2024-03-16
261,52,52,52,Skirt,59,2-Day Shipping,Yes,Yes,Credit Card,2024-02-17
262,53,53,53,T-shirt,20,Free Shipping,Yes,Yes,Credit Card,2024-06-07
263,54,54,54,Skirt,24,Next Day Air,Yes,Yes,Credit Card,2024-01-21
265,55,55,55,Coat,94,Next Day Air,Yes,Yes,Debit Card,2024-07-22
266,56,56,56,Jacket,28,2-Day Shipping,Yes,Yes,Credit Card,2024-02-22
267,57,57,57,Backpack,73,Store Pickup,Yes,Yes,Credit Card,2024-06-07
268,58,58,58,Coat,64,Store Pickup,Yes,Yes,Debit Card,2024-07-20
269,59,59,59,Hoodie,54,Free Shipping,Yes,Yes,Venmo,2024-08-10
271,60,60,60,Belt,79,Standard,Yes,Yes,Debit Card,2024-05-28
272,61,61,61,Sweater,37,Express,Yes,Yes,Cash,2024-07-28
273,62,62,62,Scarf,68,Store Pickup,Yes,Yes,Credit Card,2024-02-26
274,63,63,63,Sneakers,21,Free Shipping,Yes,Yes,Credit Card,2024-05-13
275,64,64,64,Sunglasses,79,2-Day Shipping,Yes,Yes,Credit Card,2024-01-08
277,65,65,65,Boots,83,Standard,Yes,Yes,Debit Card,2024-11-01
278,66,66,66,Backpack,36,2-Day Shipping,Yes,Yes,Venmo,2024-05-21
279,67,67,67,Blouse,94,2-Day Shipping,Yes,Yes,Venmo,2024-01-17
280,68,68,68,Coat,33,Store Pickup,Yes,Yes,Debit Card,2024-02-28
281,69,69,69,Handbag,46,Next Day Air,Yes,Yes,Cash,2024-08-11
283,70,70,70,Belt,70,Express,Yes,Yes,Cash,2024-06-04
284,71,71,71,Belt,29,Express,Yes,Yes,Debit Card,2024-10-16
285,72,72,72,Dress,48,Express,Yes,Yes,Bank Transfer,2024-07-10
286,73,73,73,Dress,26,Store Pickup,Yes,Yes,Bank Transfer,2024-02-22
287,74,74,74,Pants,85,Free Shipping,Yes,Yes,Bank Transfer,2024-04-23
289,75,75,75,Gloves,58,Express,Yes,Yes,Cash,2024-05-03
290,76,76,76,Scarf,85,Free Shipping,Yes,Yes,Credit Card,2024-06-06
291,77,77,77,Hat,43,Free Shipping,Yes,Yes,Venmo,2024-08-06
292,78,78,78,Dress,53,Next Day Air,Yes,Yes,Debit Card,2024-06-12
293,79,79,79,Skirt,91,Free Shipping,Yes,Yes,Venmo,2024-04-23
295,80,80,80,Jacket,96,2-Day Shipping,Yes,Yes,Bank Transfer,2024-12-03
296,81,81,81,Sandals,72,Store Pickup,Yes,Yes,Credit Card,2024-07-01
297,82,82,82,Shoes,96,Express,Yes,Yes,Credit Card,2024-08-14
298,83,83,83,Pants,28,2-Day Shipping,Yes,Yes,Credit Card,2024-03-16
299,84,84,84,Dress,40,Standard,Yes,Yes,Bank Transfer,2024-08-02
301,85,85,85,Coat,32,Standard,Yes,Yes,Bank Transfer,2024-03-15
