id,name,city,state,stars,review_count,category
I9Y-4JhE4thXVfw--3Azhg,Invacare Corp.,Manhattan,New York,3.5,5,Medical Supplies
CF-QQvee-Z_OPc_E-nkI8Q,Chuck E. Cheese,Newark,New Jersey,3,6,Food Delivery Services
rie_OxMfIxmfMJD8MFyprg,Café Perko,B0st0n,Massachusetts,4.5,9,Home Services
YsqezpbZ-cgwf9kvWpBvFw,Fay Wong,B0st0n,Massachusetts,2.5,6,Chinese
JdsD9o8OIcW2JV3NubQ_hA,Public Library,Manhattan,New York,4,4,Public Services & Government
3rHMaoarZ13Qrafr2DeFcA,The Zen,Syracuse,New York,3,17,Chinese
Mzc-5qTf_eY5mNR7Zn5S2w,Nail's Attraction,Manhattan,New York,2.5,23,Nail Salons
Kn57RIWAdnVfJHI1loLXOQ,Super Hakka Restaurant,Manhattan,New York,3.5,67,Chinese
nd8gEcA81CCq-CIigvO5YQ,Hakim Optical Factory Outlet,Manhattan,New York,2.5,3,Shopping
7lvogweL-b7av26TUOCf4w,Hey Noodles,Manhattan,New York,4,6,Asian Fusion
a7PQyftj6OURt0f5evJRUg,Junction Eatery,Manhattan,New York,4,15,Restaurants
zuTA5DZ3FQL33hstBJktNQ,Ci Gusta!,The Bronx,New York,4,16,Ice Cream & Frozen Yogurt
3Td52lQh8WDFLMLI2v-B4g,"Ken Nakamura DC, CAFCI",Manhattan,New York,5,3,Acupuncture
dVaIvpEMYuJPlHHCe9Oevg,Perfect Nail Spa,Manhattan,New York,3,17,Nail Salons
CDjcqC_y7D14jZd9kKmZ9g,Fressen Restaurant,Manhattan,New York,3.5,51,Restaurants
l8fPKljU559jkRRFLwfx9w,Queens Public Library,Queens,New York,4,4,Libraries
8g4U25x6q7DUYN50lsQq2A,Chez Julien,Quincy,Massachusetts,4.5,3,Caterers
OFaBWa-YLblMZhfS54MsWA,Jetsun's Juicyburger,Manhattan,New York,2.5,17,Breakfast & Brunch
JiYlmAqfqfiGK3JycqhOqw,Zara,Manhattan,New York,2,6,Women's Clothing
JkHJXplZptBUhBxclMLbRg,Noise,Manhattan,New York,3.5,3,Shopping
yiKd42V_SoI_08DL62twDQ,Doner Kebab House,Manhattan,New York,4,90,Restaurants
m_L_h0dBvaAF5WER7GOzPQ,Dream Cyclery,Manhattan,New York,4.5,14,Bikes
4EwFbukGHSWoyZ3EOGapPA,Equinox Fitness,Brooklyn,New York,4,3,Gyms
cCKMUbJLXG3d-jB7xzG4cw,Maison de Thé Cha Noir,Cambridge,Massachusetts,4.5,7,Food
3PhF188adiC8ZutKRP9gyQ,Health Herb Harmony,Niagara Falls,New York,3,55,Desserts
DBU2PkMCYXHtHRHLtX1xQg,Smile White,Manhattan,New York,3,9,Health & Medical
OCr1LxK7ruGwWSD12unbzg,Oriental Falls Spa,Newark,New Jersey,2,6,Beauty & Spas
FRHfFuJ8a9FKgGpm-GrdeA,Chow Pastry,B0st0n,Massachusetts,4,4,Food
HuSgA5afcUz14MjtJkcNSA,Ariake Japanese Restaurant,Elmira,New York,3.5,13,Japanese
mEc96Dg8H8t0iZrEF7Pk_Q,Pub P J,B0st0n,Massachusetts,3,19,Sports Bars
uVkOVB0FJ9INOBmzB8ai5g,Restaurant Peddlers,Salem,Massachusetts,3,4,Restaurants
tWNdXuz8wBbyEFllemjrzw,Domino's Pizza,B0st0n,Massachusetts,3,4,Italian
rc3uC4080uSOMtJRs59N5g,Starbucks,Manhattan,New York,2.5,16,Coffee & Tea
I3BtaQaQ3PvwlUk6oYpTjg,Salon Calypso & Spa,Poughkeepsie,New York,3,3,Skin Care
T6dBetrpUOhYz8GmKX05Yg,Hairy Tarantula Comics & Games,Manhattan,New York,4,23,Hobby Shops
wPltTd0vAcOcDWIE8JhWVg,Cobra,Manhattan,New York,3,16,Dance Clubs
oU0sywyWhlb-Z5Dyo33B6g,EB Games,Manhattan,New York,2.5,12,Books
Mhb-iYVDZUDzq7iPELg7QQ,Mr. Jerky Fish and Chips,Manhattan,New York,4,3,Restaurants
VgG6x5tfIcPmadoE5FikPw,The Works Gourmet Burger Bistro The Beach,Manhattan,New York,3,6,Food Delivery Services
TCvqMYuw3FpWjhkS0Dq3UA,Lettuce Knit,Manhattan,New York,3.5,14,Knitting Supplies
W6JDLxfW2RGRSv5z7J1hMg,Sal's Grocery Store,Huntington,New York,3.5,5,Grocery
VQkrYJgDZIDsnaphQh1ZDw,Osco!,Boston,Massachusetts,3,18,Restaurants
JLPRHZC0QDT731abIbawTg,The Village Seamstress,Manhattan,New York,5,8,Local Services
0O3H5plJx-Cq2A80qFVW5w,LAB,Manhattan,New York,4,17,Canadian (New)
wSZ-E1rwPQUcq1rAbn2ANg,Cookie Crumble Cafe,Ithaca,New York,2.5,9,Italian
RI-dk_hgC_jDMNBKWAy-ww,Tasty's Caribbean Take Out,Manhattan,New York,3.5,9,Restaurants
_0oMhe_H-Dw6RX1BmRk1_g,Silver Snail Comics,Manhattan,New York,4.5,4,Shopping
fcwk_5aiACu6y7AxpRhUug,Smart Furniture,Buffalo,New York,2.5,3,Shopping
gY1EPTJwTo7PVdH935C16i,40 Northh,Plymouth,Massachusetts,4.5,8,#N/A
