week,trials,upgrades,budget,tv_trials,tv_upgrades,tv_budget,overall_conversion_rate,TV_conversion_rate,overall_CAC,TV_CAC,Overall_profitable_conversion,TV_profitable_conversion
1,810,3,"$43,332",0,0,$0,0.003703704,,"$14,444",,0.04846303,
2,778,11,"$37,312",0,0,$0,0.014138817,,"$3,392",,0.206367925,
3,550,23,"$25,878",0,0,$0,0.041818182,,"$1,125",,0.622150089,
4,648,57,"$35,974",0,0,$0,0.087962963,,$631,,1.109134375,
5,802,81,"$44,738",0,0,$0,0.100997506,,$552,,1.267378962,
6,846,78,"$45,799",0,0,$0,0.092198582,,$587,,1.192165768,
7,809,55,"$43,045",0,0,$0,0.067985167,,$783,,0.894412824,
8,748,65,"$34,877",0,0,$0,0.086898396,,$537,,1.304584683,
9,833,80,"$39,523",0,0,$0,0.096038415,,$494,,1.416896491,
10,786,85,"$41,529",0,0,$0,0.108142494,,$489,,1.432733752,
11,784,81,"$35,719",0,0,$0,0.103316327,,$441,,1.587390464,
12,705,75,"$37,105",0,0,$0,0.106382979,,$495,,1.414903652,
13,737,83,"$38,947",0,0,$0,0.112618725,,$469,,1.491770868,
14,810,79,"$42,054",0,1,$0,0.097530864,,$532,0,1.314975983,
15,844,78,"$47,117",0,0,$0,0.092417062,,$604,,1.158817412,
16,787,71,"$39,497",315,2,"$4,152",0.09021601,0.006349206,$556,2076,1.258323417,0.337186898
17,660,74,"$34,321",296,7,"$4,734",0.112121212,0.023648649,$464,676.2857143,1.509280033,1.035065484
18,805,81,"$42,792",299,8,"$5,793",0.100621118,0.026755853,$528,724.125,1.325014021,0.966683929
19,1009,84,"$46,992",287,10,"$5,179",0.083250743,0.034843206,$559,517.9,1.251276813,1.35161228
20,907,79,"$57,522",301,19,"$5,547",0.087100331,0.063122924,$728,291.9473684,0.961371301,2.397692446
21,764,66,"$32,387",334,18,"$5,485",0.086387435,0.053892216,$491,304.7222222,1.426498286,2.297174111
22,788,81,"$38,098",302,18,"$5,372",0.102791878,0.059602649,$470,298.4444444,1.488267101,2.34549516
23,903,101,"$46,790",278,17,"$5,175",0.111849391,0.061151079,$463,304.4117647,1.511006625,2.299516908
