,index,code,country,year,c_birthrate,c_population,w_birthrate,w_population,c_birth,w_birth,c_probability,c_birth_growth
0,181,CAN,Canada,1960,26.7,17909356.0,37.97954155024993,30466203978.0,478179.8052,1157092459.8608406,0.00041325980575269587,
1,447,CAN,Canada,1961,26.0,18271000.0,37.60708616406667,30889845829.0,475046.0,1161677093.6859384,0.00040893119317064676,-0.006553612607477777
2,713,CAN,Canada,1962,25.2,18614000.0,37.74516401886059,31460307145.0,469072.8,1187474453.271757,0.00039501717170217836,-0.012573940207895706
3,979,CAN,Canada,1963,24.6,18964000.0,37.596512808657536,32165249355.0,466514.4,1209301209.368921,0.0003857718791527981,-0.005454164044472298
4,1245,CAN,Canada,1964,23.4,19325000.0,37.08450999293608,32876505640.0,452205.0,1219209101.9393995,0.00037090028222449797,-0.030673008164378235
5,1511,CAN,Canada,1965,21.3,19678000.0,36.52726079080261,33596142404.0,419141.4,1227175055.1558502,0.00034154980435677896,-0.0731163963246757
6,1777,CAN,Canada,1966,19.3,20048000.0,36.0088169012065,34347377614.0,386926.4,1236808431.539125,0.00031284262795532215,-0.07685950373787942
7,2043,CAN,Canada,1967,18.2,20412000.0,35.59203306392052,35100640470.0,371498.4,1249303156.1730266,0.00029736449328920776,-0.039873216198222705
8,2309,CAN,Canada,1968,17.6,20744000.0,35.263071139813206,35873670213.0,365094.4,1265015784.7672172,0.0002886085726330942,-0.01723829766157814
9,2575,CAN,Canada,1969,17.6,21028000.0,34.7882822009805,36672630348.0,370092.80000000005,1275777813.5984657,0.00029009189222072636,0.013690705746239873
10,2841,CAN,Canada,1970,17.4,21324000.0,34.433178757358185,37488323981.0,371037.5999999999,1290842160.9515305,0.0002874383958194343,0.0025528732253097264
11,3107,CAN,Canada,1971,16.8,21962032.0,34.102525292338505,38321026258.0,368962.1376,1306843767.191813,0.000282330716848302,-0.005593671369154785
12,3373,CAN,Canada,1972,15.9,22218463.0,33.78236838402386,39138666159.0,353273.56169999996,1322196838.2426662,0.0002671868147631758,-0.042520828836395075
13,3639,CAN,Canada,1973,15.6,22491777.0,33.32537549535978,39968557071.0,350871.72119999997,1331967172.3987923,0.0002634237002764124,-0.006798811913470093
14,3905,CAN,Canada,1974,15.4,22807969.0,32.95759538107385,40796221628.0,351242.72260000004,1344545365.492238,0.0002612353079447119,0.0010573704792486982
15,4171,CAN,Canada,1975,15.8,23143275.0,32.590990681124,41609310924.0,365663.745,1356088664.572075,0.00026964589746452034,0.041057142175790595
16,4437,CAN,Canada,1976,15.6,23449808.0,32.29438183140729,42412752596.0,365817.0048,1369693626.8562348,0.00026707943851621405,0.00041912768792551347
17,4703,CAN,Canada,1977,15.5,23725843.0,32.01869181653589,43211542057.0,367750.5665,1383577048.0403624,0.0002657969550888877,0.005285598194258778
18,4969,CAN,Canada,1978,15.2,23963203.0,31.838586774630546,44027296685.0,364240.68559999997,1401766905.9577763,0.0002598439755225407,-0.009544188968639067
19,5235,CAN,Canada,1979,15.4,24201544.0,31.802719141462408,44867801146.0,372703.77760000003,1426918078.3412232,0.00026119493701647127,0.023234889276740445
20,5501,CAN,Canada,1980,15.4,24515667.0,31.732812388890043,45719168530.0,377541.2718,1450797797.5385358,0.0002602301109365806,0.012979461145123494
21,5767,CAN,Canada,1981,15.3,24819915.0,31.58986533486918,46587537039.0,379744.6995,1471694021.3452399,0.0002580323722134065,0.005836256495865388
22,6033,CAN,Canada,1982,15.1,25116942.0,31.408088213203225,47495947722.0,379265.8242,1491756915.8222647,0.000254241036309154,-0.001261045382938919
23,6299,CAN,Canada,1983,15.0,25366451.0,31.18779979545762,48417813133.0,380496.765,1510045062.5258827,0.0002519770928978341,0.003245588506679997
24,6565,CAN,Canada,1984,15.0,25607053.0,30.926280523954468,49338396666.0,384105.795,1525853095.894856,0.0002517318318738517,0.009485047790090961
25,6831,CAN,Canada,1985,14.9,25842116.0,30.68515270223865,50277212433.0,385047.5284,1542763940.9494965,0.00024958291944717214,0.0024517552514407015
26,7097,CAN,Canada,1986,14.5,26100278.0,30.384602314814025,51240875431.0,378454.031,1556933622.2338595,0.0002430765355667515,-0.01712385332636246
27,7363,CAN,Canada,1987,14.4,26446601.0,30.068319740359797,52230229143.0,380831.0544,1570475229.9839823,0.00024249414898691794,0.00628087747861783
28,7629,CAN,Canada,1988,14.5,26791747.0,29.75858102750962,53227433119.0,388480.3315,1583972881.3581107,0.0002452569334185279,0.020085749341138603
29,7895,CAN,Canada,1989,14.9,27276781.0,29.31404477723227,54227437012.0,406424.03690000006,1589625516.7243106,0.0002556728189275074,0.046189482311024266
30,8161,CAN,Canada,1990,15.0,27691138.0,29.078842208872334,55240882167.0,415367.07,1606340896.0131025,0.0002585796520719422,0.02200419337451831
31,8427,CAN,Canada,1991,14.4,28037420.0,28.559820839601965,56224021080.0,403738.848,1605747968.9268043,0.0002514335099983576,-0.027995050257595078
32,8693,CAN,Canada,1992,14.1,28371264.0,28.060786899285986,57202612104.0,400034.8224,1605150308.3328612,0.0002492195405771585,-0.009174310617738657
33,8959,CAN,Canada,1993,13.6,28684764.0,27.50878013200521,58180211936.0,390112.7904,1600466658.1808891,0.00024374940171725113,-0.02480292075693058
34,9225,CAN,Canada,1994,13.3,29000663.0,26.943447711041404,59143840282.0,385708.8179,1593538968.0682511,0.00024204542570274953,-0.011288972339215997
35,9491,CAN,Canada,1995,12.9,29302311.0,26.421443741360108,60103409722.0,377999.81190000003,1588018858.6337392,0.00023803231922901359,-0.019986595178123845
36,9757,CAN,Canada,1996,12.4,29610218.0,25.920498270792947,61066516311.0,367166.7032,1582874530.4426248,0.00023196197559469724,-0.028659031986148054
37,10023,CAN,Canada,1997,11.7,29905948.0,25.442863191910774,62027774819.0,349899.5916,1578164188.818465,0.00022171304739968895,-0.04702798878414205
38,10289,CAN,Canada,1998,11.4,30155173.0,24.96516706097562,62989252114.0,343768.97219999996,1572537202.0719216,0.0002186078470811766,-0.01752108189657009
39,10555,CAN,Canada,1999,11.1,30401286.0,24.65541088195968,63939984492.0,337454.27459999995,1576466589.43639,0.00021405735894513617,-0.018369015561783164
40,10821,CAN,Canada,2000,10.7,30685730.0,24.334806249026784,64880030174.0,328337.311,1578842963.7153015,0.0002079607146155709,-0.02701688580121475
41,11087,CAN,Canada,2001,10.8,31020855.0,23.912935889885567,65818945353.0,335025.234,1573924220.5661707,0.00021285982490280568,0.02036906186394405
42,11353,CAN,Canada,2002,10.5,31359199.0,23.540597454822993,66754460991.0,329271.5895,1571439894.5028155,0.00020953495622190343,-0.017173764588729434
43,11619,CAN,Canada,2003,10.6,31642461.0,23.283351554945718,67691009430.0,335410.0866,1576073569.6678357,0.00021281372459706248,0.018642656383811573
44,11885,CAN,Canada,2004,10.6,31938807.0,23.107241670642967,68635906366.0,338551.3542,1585986475.682784,0.0002134642125836855,0.009365453590983286
45,12151,CAN,Canada,2005,10.7,32242732.0,22.915105147043025,69584072729.0,344997.2324,1594526343.144524,0.00021636345732591652,0.01903958770223091
46,12417,CAN,Canada,2006,11.0,32571193.0,22.78578779558895,70542760874.0,358283.123,1607372379.7899387,0.0002228998877328119,0.038510136755520286
47,12683,CAN,Canada,2007,11.3,32888886.0,22.71201424332532,71502357576.0,371644.4118,1623962563.697452,0.00022885035659555894,0.03729254308191332
